areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-10-22,136
K02000001,United Kingdom,overview,2021-10-21,157
K02000001,United Kingdom,overview,2021-10-20,155
K02000001,United Kingdom,overview,2021-10-19,129
K02000001,United Kingdom,overview,2021-10-18,127
K02000001,United Kingdom,overview,2021-10-17,129
K02000001,United Kingdom,overview,2021-10-16,133
K02000001,United Kingdom,overview,2021-10-15,139
K02000001,United Kingdom,overview,2021-10-14,149
K02000001,United Kingdom,overview,2021-10-13,121
K02000001,United Kingdom,overview,2021-10-12,115
K02000001,United Kingdom,overview,2021-10-11,126
K02000001,United Kingdom,overview,2021-10-10,96
K02000001,United Kingdom,overview,2021-10-09,117
K02000001,United Kingdom,overview,2021-10-08,120
K02000001,United Kingdom,overview,2021-10-07,123
K02000001,United Kingdom,overview,2021-10-06,104
K02000001,United Kingdom,overview,2021-10-05,120
K02000001,United Kingdom,overview,2021-10-04,103
K02000001,United Kingdom,overview,2021-10-03,97
K02000001,United Kingdom,overview,2021-10-02,110
K02000001,United Kingdom,overview,2021-10-01,129
K02000001,United Kingdom,overview,2021-09-30,113
K02000001,United Kingdom,overview,2021-09-29,126
K02000001,United Kingdom,overview,2021-09-28,108
K02000001,United Kingdom,overview,2021-09-27,116
K02000001,United Kingdom,overview,2021-09-26,98
K02000001,United Kingdom,overview,2021-09-25,125
K02000001,United Kingdom,overview,2021-09-24,126
K02000001,United Kingdom,overview,2021-09-23,139
K02000001,United Kingdom,overview,2021-09-22,151
K02000001,United Kingdom,overview,2021-09-21,122
K02000001,United Kingdom,overview,2021-09-20,139
K02000001,United Kingdom,overview,2021-09-19,125
K02000001,United Kingdom,overview,2021-09-18,124
K02000001,United Kingdom,overview,2021-09-17,176
K02000001,United Kingdom,overview,2021-09-16,151
K02000001,United Kingdom,overview,2021-09-15,144
K02000001,United Kingdom,overview,2021-09-14,155
K02000001,United Kingdom,overview,2021-09-13,110
K02000001,United Kingdom,overview,2021-09-12,144
K02000001,United Kingdom,overview,2021-09-11,138
K02000001,United Kingdom,overview,2021-09-10,146
K02000001,United Kingdom,overview,2021-09-09,167
K02000001,United Kingdom,overview,2021-09-08,141
K02000001,United Kingdom,overview,2021-09-07,155
K02000001,United Kingdom,overview,2021-09-06,138
K02000001,United Kingdom,overview,2021-09-05,157
K02000001,United Kingdom,overview,2021-09-04,135
K02000001,United Kingdom,overview,2021-09-03,148
K02000001,United Kingdom,overview,2021-09-02,129
K02000001,United Kingdom,overview,2021-09-01,118
K02000001,United Kingdom,overview,2021-08-31,117
K02000001,United Kingdom,overview,2021-08-30,107
K02000001,United Kingdom,overview,2021-08-29,130
K02000001,United Kingdom,overview,2021-08-28,126
K02000001,United Kingdom,overview,2021-08-27,129
K02000001,United Kingdom,overview,2021-08-26,116
K02000001,United Kingdom,overview,2021-08-25,103
K02000001,United Kingdom,overview,2021-08-24,114
K02000001,United Kingdom,overview,2021-08-23,117
K02000001,United Kingdom,overview,2021-08-22,119
K02000001,United Kingdom,overview,2021-08-21,106
K02000001,United Kingdom,overview,2021-08-20,118
K02000001,United Kingdom,overview,2021-08-19,109
K02000001,United Kingdom,overview,2021-08-18,101
K02000001,United Kingdom,overview,2021-08-17,109
K02000001,United Kingdom,overview,2021-08-16,83
K02000001,United Kingdom,overview,2021-08-15,87
K02000001,United Kingdom,overview,2021-08-14,96
K02000001,United Kingdom,overview,2021-08-13,107
K02000001,United Kingdom,overview,2021-08-12,108
K02000001,United Kingdom,overview,2021-08-11,89
K02000001,United Kingdom,overview,2021-08-10,81
K02000001,United Kingdom,overview,2021-08-09,82
K02000001,United Kingdom,overview,2021-08-08,81
K02000001,United Kingdom,overview,2021-08-07,95
K02000001,United Kingdom,overview,2021-08-06,95
K02000001,United Kingdom,overview,2021-08-05,102
K02000001,United Kingdom,overview,2021-08-04,80
K02000001,United Kingdom,overview,2021-08-03,74
K02000001,United Kingdom,overview,2021-08-02,80
K02000001,United Kingdom,overview,2021-08-01,95
K02000001,United Kingdom,overview,2021-07-31,90
K02000001,United Kingdom,overview,2021-07-30,108
K02000001,United Kingdom,overview,2021-07-29,81
K02000001,United Kingdom,overview,2021-07-28,88
K02000001,United Kingdom,overview,2021-07-27,72
K02000001,United Kingdom,overview,2021-07-26,76
K02000001,United Kingdom,overview,2021-07-25,72
K02000001,United Kingdom,overview,2021-07-24,74
K02000001,United Kingdom,overview,2021-07-23,85
K02000001,United Kingdom,overview,2021-07-22,78
K02000001,United Kingdom,overview,2021-07-21,55
K02000001,United Kingdom,overview,2021-07-20,58
K02000001,United Kingdom,overview,2021-07-19,82
K02000001,United Kingdom,overview,2021-07-18,69
K02000001,United Kingdom,overview,2021-07-17,52
K02000001,United Kingdom,overview,2021-07-16,52
K02000001,United Kingdom,overview,2021-07-15,52
K02000001,United Kingdom,overview,2021-07-14,43
K02000001,United Kingdom,overview,2021-07-13,50
K02000001,United Kingdom,overview,2021-07-12,41
K02000001,United Kingdom,overview,2021-07-11,35
K02000001,United Kingdom,overview,2021-07-10,42
K02000001,United Kingdom,overview,2021-07-09,48
K02000001,United Kingdom,overview,2021-07-08,42
K02000001,United Kingdom,overview,2021-07-07,29
K02000001,United Kingdom,overview,2021-07-06,32
K02000001,United Kingdom,overview,2021-07-05,29
K02000001,United Kingdom,overview,2021-07-04,29
K02000001,United Kingdom,overview,2021-07-03,29
K02000001,United Kingdom,overview,2021-07-02,28
K02000001,United Kingdom,overview,2021-07-01,25
K02000001,United Kingdom,overview,2021-06-30,22
K02000001,United Kingdom,overview,2021-06-29,24
K02000001,United Kingdom,overview,2021-06-28,13
K02000001,United Kingdom,overview,2021-06-27,22
K02000001,United Kingdom,overview,2021-06-26,17
K02000001,United Kingdom,overview,2021-06-25,22
K02000001,United Kingdom,overview,2021-06-24,23
K02000001,United Kingdom,overview,2021-06-23,8
K02000001,United Kingdom,overview,2021-06-22,13
K02000001,United Kingdom,overview,2021-06-21,16
K02000001,United Kingdom,overview,2021-06-20,25
K02000001,United Kingdom,overview,2021-06-19,23
K02000001,United Kingdom,overview,2021-06-18,12
K02000001,United Kingdom,overview,2021-06-17,6
K02000001,United Kingdom,overview,2021-06-16,13
K02000001,United Kingdom,overview,2021-06-15,21
K02000001,United Kingdom,overview,2021-06-14,10
K02000001,United Kingdom,overview,2021-06-13,10
K02000001,United Kingdom,overview,2021-06-12,14
K02000001,United Kingdom,overview,2021-06-11,6
K02000001,United Kingdom,overview,2021-06-10,11
K02000001,United Kingdom,overview,2021-06-09,9
K02000001,United Kingdom,overview,2021-06-08,10
K02000001,United Kingdom,overview,2021-06-07,6
K02000001,United Kingdom,overview,2021-06-06,8
K02000001,United Kingdom,overview,2021-06-05,7
K02000001,United Kingdom,overview,2021-06-04,13
K02000001,United Kingdom,overview,2021-06-03,12
K02000001,United Kingdom,overview,2021-06-02,13
K02000001,United Kingdom,overview,2021-06-01,4
K02000001,United Kingdom,overview,2021-05-31,8
K02000001,United Kingdom,overview,2021-05-30,9
K02000001,United Kingdom,overview,2021-05-29,9
K02000001,United Kingdom,overview,2021-05-28,8
K02000001,United Kingdom,overview,2021-05-27,9
K02000001,United Kingdom,overview,2021-05-26,13
K02000001,United Kingdom,overview,2021-05-25,7
K02000001,United Kingdom,overview,2021-05-24,9
K02000001,United Kingdom,overview,2021-05-23,9
K02000001,United Kingdom,overview,2021-05-22,5
K02000001,United Kingdom,overview,2021-05-21,10
K02000001,United Kingdom,overview,2021-05-20,6
K02000001,United Kingdom,overview,2021-05-19,5
K02000001,United Kingdom,overview,2021-05-18,6
K02000001,United Kingdom,overview,2021-05-17,8
K02000001,United Kingdom,overview,2021-05-16,8
K02000001,United Kingdom,overview,2021-05-15,8
K02000001,United Kingdom,overview,2021-05-14,6
K02000001,United Kingdom,overview,2021-05-13,7
K02000001,United Kingdom,overview,2021-05-12,11
K02000001,United Kingdom,overview,2021-05-11,15
K02000001,United Kingdom,overview,2021-05-10,10
K02000001,United Kingdom,overview,2021-05-09,9
K02000001,United Kingdom,overview,2021-05-08,9
K02000001,United Kingdom,overview,2021-05-07,12
K02000001,United Kingdom,overview,2021-05-06,11
K02000001,United Kingdom,overview,2021-05-05,13
K02000001,United Kingdom,overview,2021-05-04,10
K02000001,United Kingdom,overview,2021-05-03,10
K02000001,United Kingdom,overview,2021-05-02,14
K02000001,United Kingdom,overview,2021-05-01,9
K02000001,United Kingdom,overview,2021-04-30,12
K02000001,United Kingdom,overview,2021-04-29,16
K02000001,United Kingdom,overview,2021-04-28,16
K02000001,United Kingdom,overview,2021-04-27,16
K02000001,United Kingdom,overview,2021-04-26,13
K02000001,United Kingdom,overview,2021-04-25,15
K02000001,United Kingdom,overview,2021-04-24,8
K02000001,United Kingdom,overview,2021-04-23,23
K02000001,United Kingdom,overview,2021-04-22,17
K02000001,United Kingdom,overview,2021-04-21,24
K02000001,United Kingdom,overview,2021-04-20,19
K02000001,United Kingdom,overview,2021-04-19,18
K02000001,United Kingdom,overview,2021-04-18,18
K02000001,United Kingdom,overview,2021-04-17,25
K02000001,United Kingdom,overview,2021-04-16,19
K02000001,United Kingdom,overview,2021-04-15,22
K02000001,United Kingdom,overview,2021-04-14,18
K02000001,United Kingdom,overview,2021-04-13,21
K02000001,United Kingdom,overview,2021-04-12,29
K02000001,United Kingdom,overview,2021-04-11,24
K02000001,United Kingdom,overview,2021-04-10,25
K02000001,United Kingdom,overview,2021-04-09,26
K02000001,United Kingdom,overview,2021-04-08,36
K02000001,United Kingdom,overview,2021-04-07,28
K02000001,United Kingdom,overview,2021-04-06,28
K02000001,United Kingdom,overview,2021-04-05,18
K02000001,United Kingdom,overview,2021-04-04,27
K02000001,United Kingdom,overview,2021-04-03,31
K02000001,United Kingdom,overview,2021-04-02,31
K02000001,United Kingdom,overview,2021-04-01,32
K02000001,United Kingdom,overview,2021-03-31,39
K02000001,United Kingdom,overview,2021-03-30,43
K02000001,United Kingdom,overview,2021-03-29,36
K02000001,United Kingdom,overview,2021-03-28,34
K02000001,United Kingdom,overview,2021-03-27,39
K02000001,United Kingdom,overview,2021-03-26,48
K02000001,United Kingdom,overview,2021-03-25,46
K02000001,United Kingdom,overview,2021-03-24,41
K02000001,United Kingdom,overview,2021-03-23,52
K02000001,United Kingdom,overview,2021-03-22,68
K02000001,United Kingdom,overview,2021-03-21,81
K02000001,United Kingdom,overview,2021-03-20,64
